lớp 1,học kỳ 1,CHỦ ĐỀ 1: CÁC SỐ ĐẾN 10
,,"1. Các số 1, 2, 3, 4, 5"
,,"2. Các số 6, 7, 8, 9, 10"
,,"3. Nhiều hơn, ít hơn, bằng nhau"
,,4. So sánh số
,,5. Mấy và mấy
,,6. Luyện tập chung
,,
,,CHỦ ĐỀ 2: HÌNH PHẲNG VÀ HÌNH KHỐI
,,"7. Hình tròn, hình tam giác, hình vuông, hình chữ nhật"
,,"8. Khối lập phương, khối hộp chữ nhật"
,,9. Luyện tập chung
,,
,,"CHỦ ĐỀ 3: PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 10"
,,10. Phép cộng trong phạm vi 10
,,11. Phép trừ trong phạm vi 10
,,12. Bảng cộng và bảng trừ trong phạm vi 10
,,13. Luyện tập chung
,,
,,"CHỦ ĐỀ 4: CÁC SỐ ĐẾN 20 VÀ PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 20"
,,14. Các số từ 11 đến 20
,,"15. Phép cộng dạng 10 + 3, 13 + 4"
,,"16. Phép trừ dạng 17 - 3, 17 - 7"
,,17. Luyện tập chung
,,
,,CHỦ ĐỀ 5: ÔN TẬP HỌC KÌ I
,,"18. Ôn tập các số trong phạm vi 10, 20"
,,"19. Ôn tập phép cộng, phép trừ trong phạm vi 10, 20"
,,20. Ôn tập hình học
,,21. Ôn tập chung
,,
,học kỳ 2,CHỦ ĐỀ 6: CÁC SỐ ĐẾN 100
,,22. Các số tròn chục
,,23. Chục và đơn vị
,,24. Các số từ 21 đến 70
,,25. Các số từ 71 đến 99
,,26. Số 100
,,27. So sánh các số trong phạm vi 100
,,28. Luyện tập chung
,,
,,CHỦ ĐỀ 7: ĐO LƯỜNG
,,"29. Dài hơn, ngắn hơn"
,,30. Đo độ dài
,,31. Xăng-ti-mét. Đơn vị đo độ dài
,,"32. Tuần lễ, ngày trong tuần"
,,33. Xem đồng hồ chỉ giờ đúng
,,34. Luyện tập chung
,,
,,"CHỦ ĐỀ 8: PHÉP CỘNG, PHÉP TRỪ (KHÔNG NHỚ) TRONG PHẠM VI 100"
,,"35. Phép cộng dạng 14 + 3, 35 + 24"
,,"36. Phép trừ dạng 17 - 3, 59 - 24"
,,37. Luyện tập chung
,,
,,CHỦ ĐỀ 9: ÔN TẬP CUỐI NĂM
,,38. Ôn tập các số trong phạm vi 100
,,"39. Ôn tập phép cộng, phép trừ trong phạm vi 100"
,,40. Ôn tập hình học và đo lường
,,41. Ôn tập chung
,,
lớp 2,học kỳ 1,CHỦ ĐỀ 1: ÔN TẬP VÀ BỔ SUNG
,,1. Ôn tập các số đến 100
,,"2. Ôn tập phép cộng, phép trừ trong phạm vi 100"
,,"3. Thành phần của phép cộng, phép trừ"
,,"4. Hơn, kém nhau bao nhiêu?"
,,5. Ôn tập hình học và đo lường
,,6. Luyện tập chung
,,
,,"CHỦ ĐỀ 2: PHÉP CỘNG, PHÉP TRỪ QUA 10 TRONG PHẠM VI 20"
,,7. Phép cộng qua 10 trong phạm vi 20
,,8. Bảng cộng qua 10 trong phạm vi 20
,,"9. Bài toán về thêm, bớt một số đơn vị"
,,10. Phép trừ qua 10 trong phạm vi 20
,,11. Bảng trừ qua 10 trong phạm vi 20
,,"12. Bài toán về nhiều hơn, ít hơn một số đơn vị"
,,13. Luyện tập chung
,,
,,"CHỦ ĐỀ 3: PHÉP CỘNG, PHÉP TRỪ CÓ NHỚ TRONG PHẠM VI 100"
,,14. Phép cộng có nhớ trong phạm vi 100
,,15. Phép trừ có nhớ trong phạm vi 100
,,16. Luyện tập chung
,,
,,CHỦ ĐỀ 4: ĐO LƯỜNG
,,17. Ki-lô-gam
,,18. Lít
,,"19. Điểm, đoạn thẳng, đường thẳng, đường cong"
,,20. Ba điểm thẳng hàng. Đường gấp khúc
,,"21. Ngày - Giờ, Giờ - Phút"
,,"22. Tuần lễ, ngày - tháng"
,,23. Luyện tập chung
,,
,,CHỦ ĐỀ 5: ÔN TẬP HỌC KÌ I
,,24. Ôn tập các số trong phạm vi 100
,,"25. Ôn tập phép cộng, phép trừ trong phạm vi 100"
,,26. Ôn tập hình học và đo lường
,,27. Ôn tập chung
,,
,học kỳ 2,"CHỦ ĐỀ 6: PHÉP NHÂN, PHÉP CHIA"
,,28. Phép nhân
,,29. Phép chia
,,"30. Bảng nhân 2, bảng chia 2"
,,"31. Bảng nhân 5, bảng chia 5"
,,32. Luyện tập chung
,,
,,CHỦ ĐỀ 7: CÁC SỐ TRONG PHẠM VI 1000
,,"33. Đơn vị, chục, trăm, nghìn"
,,34. Các số có ba chữ số
,,35. Các số từ 101 đến 110
,,36. Các số từ 111 đến 200
,,37. So sánh các số có ba chữ số
,,38. Luyện tập chung
,,
,,CHỦ ĐỀ 8: ĐO LƯỜNG. HÌNH HỌC PHẲNG
,,39. Mét. Đơn vị đo độ dài
,,40. Ki-lô-mét. Đơn vị đo độ dài
,,41. Mi-li-mét. Đơn vị đo độ dài
,,"42. Khối trụ, khối cầu"
,,43. Hình tứ giác
,,44. Luyện tập chung
,,
,,"CHỦ ĐỀ 9: PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 1000"
,,45. Phép cộng không nhớ trong phạm vi 1000
,,46. Phép trừ không nhớ trong phạm vi 1000
,,47. Luyện tập chung
,,48. Phép cộng có nhớ trong phạm vi 1000
,,49. Phép trừ có nhớ trong phạm vi 1000
,,50. Luyện tập chung
,,
,,CHỦ ĐỀ 10: ĐỒNG TIỀN VIỆT NAM. THỐNG KÊ VÀ XÁC SUẤT
,,51. Tiền Việt Nam
,,"52. Thu thập, phân loại, kiểm đếm số liệu"
,,53. Biểu đồ tranh
,,"54. Chắc chắn, có thể, không thể"
,,55. Luyện tập chung
,,
,,CHỦ ĐỀ 11: ÔN TẬP CUỐI NĂM
,,56. Ôn tập các số trong phạm vi 1000
,,"57. Ôn tập phép cộng, phép trừ trong phạm vi 1000"
