lớp 1,học kỳ 1,CHỦ ĐỀ 1: CÁC SỐ ĐẾN 10
,,1. Vị trí
,,2. Khối lập phương - Khối hộp chữ nhật
,,3. Hình tròn - Hình tam giác - Hình vuông - Hình chữ nhật
,,4. Xếp hình
,,"5. Các số 1, 2, 3"
,,"6. Các số 4, 5"
,,7. Tách - Gộp số
,,8. Bằng nhau - Nhiều hơn - Ít hơn
,,"9. So sánh các số: bằng, lớn hơn, bé hơn"
,,"10. Các số 6, 7, 8, 9, 10"
,,11. Em làm được những gì?
,,12. Thực hành và trải nghiệm: Vinh và các bạn
,,
,,"CHỦ ĐỀ 2: PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 10"
,,13. Phép cộng
,,14. Phép cộng trong phạm vi 10
,,15. Cộng bằng cách đếm thêm
,,16. Phép trừ
,,17. Phép trừ trong phạm vi 10
,,18. Trừ bằng cách đếm lùi
,,19. Em làm được những gì?
,,20. Ôn tập Học kì 1
,,
,,"CHỦ ĐỀ 3: CÁC SỐ ĐẾN 20. PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 20"
,,21. Các số từ 11 đến 20
,,"22. Các phép tính dạng 10 + 4, 14 - 4"
,,23. Phép cộng trong phạm vi 20
,,24. Phép trừ trong phạm vi 20
,,25. Em làm được những gì?
,,
,học kỳ 2,"CHỦ ĐỀ 4: CÁC SỐ ĐẾN 100. ĐO LƯỜNG. PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 100 (KHÔNG NHỚ)"
,,26. Các số tròn chục
,,27. Chục và đơn vị
,,28. Các số đến 40
,,29. Các số đến 100
,,30. So sánh các số có hai chữ số
,,31. Em làm được những gì?
,,"32. Dài hơn, ngắn hơn"
,,33. Thước thẳng - Xăng-ti-mét
,,34. Em làm được những gì?
,,35. Phép cộng các số có hai chữ số
,,36. Phép trừ các số có hai chữ số
,,37. Các ngày trong tuần
,,38. Đồng hồ - Thời gian
,,39. Em làm được những gì?
,,40. Thực hành và trải nghiệm: Em và các bạn
,,
,,CHỦ ĐỀ 5: ÔN TẬP CUỐI NĂM
,,41. Ôn tập các số trong phạm vi 10
,,"42. Ôn tập phép cộng, phép trừ trong phạm vi 10"
,,43. Ôn tập các số trong phạm vi 100
,,"44. Ôn tập phép cộng, phép trừ trong phạm vi 100"
,,45. Ôn tập về hình học và đo lường
,,
lớp 2,học kỳ 1,CHỦ ĐỀ 1: ÔN TẬP VÀ BỔ SUNG
,,1. Ôn tập các số đến 100
,,2. Ước lượng
,,3. Số hạng - Tổng
,,4. Số bị trừ - Số trừ - Hiệu
,,5. Nhiều hơn hay ít hơn bao nhiêu?
,,6. Em làm được những gì?
,,7. Điểm - Đoạn thẳng
,,"8. Tia số - Số liền trước, số liền sau"
,,9. Đề-xi-mét
,,10. Em làm được những gì?
,,11. Thực hành và trải nghiệm: Tìm hiểu về chiều dài và khối lượng của một số đồ vật xung quanh em
,,
,,"CHỦ ĐỀ 2: PHÉP CỘNG, PHÉP TRỪ QUA 10 TRONG PHẠM VI 20"
,,12. Phép cộng có nhớ trong phạm vi 20
,,13. Phép trừ có nhớ trong phạm vi 20
,,14. Em làm được những gì?
,,15. Bài toán nhiều hơn
