lớp 1,học kỳ 1,CHỦ ĐỀ 1: CÁC SỐ ĐẾN 10. HÌNH PHẲNG
,,"1. Các số 1, 2, 3"
,,"2. Các số 4, 5, 6"
,,"3. Các số 7, 8, 9"
,,4. Số 0
,,5. Số 10
,,6. Luyện tập
,,7. Nhiều hơn - Ít hơn - Bằng nhau
,,"8. Lớn hơn, dấu > - Bé hơn, dấu < - Bằng nhau, dấu ="
,,9. Luyện tập
,,10. Mỗi số lớn hơn hay bé hơn các số còn lại trong nhóm?
,,11. Thứ tự các số trong phạm vi 10
,,12. Luyện tập
,,13. Hình tròn - Hình tam giác - Hình vuông - Hình chữ nhật
,,14. Khối lập phương - Khối hộp chữ nhật
,,"15. Thực hành lắp ghép, xếp hình"
,,16. Em vui học Toán
,,17. Ôn tập chủ đề 1
,,"CHỦ ĐỀ 2: PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 10"
,,18. Phép cộng trong phạm vi 10
,,19. Phép cộng trong phạm vi 10 (tiếp theo)
,,20. Luyện tập
,,21. Phép cộng trong phạm vi 10 (tiếp theo)
,,22. Luyện tập
,,23. Phép cộng trong phạm vi 10 (tiếp theo)
,,24. Luyện tập
,,25. Bảng cộng trong phạm vi 10
,,26. Luyện tập
,,27. Phép trừ trong phạm vi 10
,,28. Phép trừ trong phạm vi 10 (tiếp theo)
,,29. Luyện tập
,,30. Phép trừ trong phạm vi 10 (tiếp theo)
,,31. Luyện tập
,,32. Phép trừ trong phạm vi 10 (tiếp theo)
,,33. Luyện tập
,,34. Bảng trừ trong phạm vi 10
,,35. Luyện tập
,,36. Luyện tập chung
,,37. Em vui học Toán
,,38. Ôn tập chủ đề 2
,,
,học kỳ 2,CHỦ ĐỀ 3: CÁC SỐ TRONG PHẠM VI 100. ĐO LƯỜNG
,,39. Các số từ 11 đến 20
,,40. Ki-lô-mét (Giới thiệu đơn vị đo độ dài: cm)
,,41. Thực hành đo độ dài
,,42. Luyện tập
,,43. Các số tròn chục
,,44. Luyện tập
,,45. Các số có hai chữ số (từ 21 đến 70)
,,46. Các số có hai chữ số (từ 71 đến 99)
,,47. Các số đến 100
,,48. Luyện tập
,,49. Chục và đơn vị
,,50. Luyện tập
,,51. So sánh các số trong phạm vi 100
,,52. Luyện tập
,,53. Dài hơn - Ngắn hơn
,,54. Đo độ dài
,,55. Xăng-ti-mét. Đo độ dài theo đơn vị xăng-ti-mét
,,56. Em vui học Toán
,,57. Ôn tập chủ đề 3
,,"CHỦ ĐỀ 4: PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 100"
,,58. Phép cộng dạng 14 + 3
,,59. Phép trừ dạng 17 - 3
,,60. Luyện tập
,,61. Cộng các số tròn chục
,,62. Trừ các số tròn chục
,,63. Luyện tập
,,64. Phép cộng dạng 25 + 14
,,65. Phép trừ dạng 39 - 15
,,66. Luyện tập
,,"67. Phép cộng dạng 36 + 4, 36 + 24"
,,"68. Phép trừ dạng 40 - 4, 40 - 24"
,,69. Luyện tập
,,70. Luyện tập chung
,,71. Các ngày trong tuần
,,72. Đồng hồ - Thời gian
,,73. Em vui học Toán
,,74. Ôn tập chủ đề 4
,,75. Ôn tập các số trong phạm vi 100
,,"76. Ôn tập phép cộng, phép trừ trong phạm vi 100"
,,77. Ôn tập về hình học và đo lường
,,78. Ôn tập chung
,,
lớp 2,học kỳ 1,CHỦ ĐỀ 1: ÔN TẬP VÀ BỔ SUNG
,,1. Ôn tập các số trong phạm vi 100
,,"2. Ôn tập về phép cộng, phép trừ trong phạm vi 100"
,,3. Tia số. Số liền trước - Số liền sau
,,4. Đề-xi-mét
,,5. Luyện tập
,,6. Số hạng - Tổng
,,7. Số bị trừ - Số trừ - Hiệu
,,8. Luyện tập
,,9. Luyện tập chung
,,10. Em vui học Toán
,,11. Ôn tập chủ đề 1
,,
,,"CHỦ ĐỀ 2: PHÉP CỘNG, PHÉP TRỪ QUA CỦA TRONG PHẠM VI 20"
,,12. Phép cộng (có nhớ) trong phạm vi 20
,,13. Luyện tập
,,14. Bảng cộng (có nhớ) trong phạm vi 20
,,15. Luyện tập
,,16. Phép cộng (có nhớ) trong phạm vi 20 (tiếp theo)
,,17. Luyện tập
,,18. Phép trừ (có nhớ) trong phạm vi 20
,,19. Luyện tập
,,20. Bảng trừ (có nhớ) trong phạm vi 20
,,21. Luyện tập
,,22. Phép trừ (có nhớ) trong phạm vi 20 (tiếp theo)
,,23. Luyện tập
,,24. Luyện tập chung
,,25. Bài toán về thêm một số đơn vị
,,26. Bài toán về bớt một số đơn vị
,,27. Luyện tập
,,28. Bài toán về nhiều hơn một số đơn vị
,,29. Bài toán về ít hơn một số đơn vị
,,30. Luyện tập
,,31. Luyện tập chung
,,32. Em vui học Toán
,,33. Ôn tập chủ đề 2
,,
,,"CHỦ ĐỀ 3: PHÉP CỘNG, PHÉP TRỪ CÓ NHỚ TRONG PHẠM VI 100"
,,34. Phép cộng (có nhớ) trong phạm vi 100
,,35. Luyện tập
,,36. Phép cộng (có nhớ) trong phạm vi 100 (tiếp theo)
,,37. Luyện tập
,,38. Ki-lô-gam
,,39. Luyện tập
,,40. Phép trừ (có nhớ) trong phạm vi 100
,,41. Luyện tập
,,42. Phép trừ (có nhớ) trong phạm vi 100 (tiếp theo)
,,43. Luyện tập
,,44. Luyện tập chung
,,45. Lít
,,46. Luyện tập
,,47. Luyện tập chung
,,48. Hình tứ giác
,,49. Điểm - Đoạn thẳng. Đường thẳng - Đường cong
,,50. Ba điểm thẳng hàng
,,51. Đường gấp khúc - Độ dài đường gấp khúc
,,52. Luyện tập thực hành ước lượng và đo độ dài
,,53. Ngày - Giờ
,,54. Giờ - Phút
,,55. Ngày - Tháng
,,56. Luyện tập chung
,,57. Em vui học Toán
,,58. Ôn tập chủ đề 3
,,59. Ôn tập về hình học và đo lường
,,60. Ôn tập chung cuối học kì I
,,
,học kỳ 2,"CHỦ ĐỀ 4: PHÉP NHÂN, PHÉP CHIA"
,,61. Phép nhân
,,62. Thừa số - Tích
,,63. Bảng nhân 2
,,64. Luyện tập
,,65. Bảng nhân 5
,,66. Luyện tập
,,67. Khối trụ - Khối cầu
,,"68. Thực hành lắp ghép, xếp hình khối"
,,69. Phép chia
,,70. Số bị chia - Số chia - Thương
,,71. Bảng chia 2
,,72. Luyện tập
,,73. Bảng chia 5
,,74. Luyện tập
,,"75. Giờ, phút (tiếp theo)"
,,76. Xem đồng hồ
,,"77. Ngày, tháng (tiếp theo)"
,,78. Luyện tập chung
,,79. Em vui học Toán
,,80. Ôn tập chủ đề 4
,,
,,CHỦ ĐỀ 5: CÁC SỐ TRONG PHẠM VI 1000
,,"81. Đơn vị, chục, trăm, nghìn"
,,82. Các số có ba chữ số
,,83. Các số có ba chữ số (tiếp theo)
,,84. Các số có ba chữ số (tiếp theo)
,,85. Luyện tập
,,"86. Viết số thành tổng các trăm, chục, đơn vị"
,,87. So sánh các số có ba chữ số
,,88. Luyện tập
,,89. Luyện tập chung
,,90. Mét
,,91. Ki-lô-mét
,,92. Luyện tập
,,93. Tiền Việt Nam
,,94. Luyện tập chung
,,95. Em vui học Toán
,,96. Ôn tập chủ đề 5
,,
,,"CHỦ ĐỀ 6: PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 1000"
,,97. Phép cộng không nhớ trong phạm vi 1000
,,98. Phép trừ không nhớ trong phạm vi 1000
,,99. Luyện tập
,,100. Phép cộng có nhớ trong phạm vi 1000
,,101. Luyện tập
,,102. Phép trừ có nhớ trong phạm vi 1000
,,103. Luyện tập
,,104. Luyện tập chung
,,105. Thu thập - Phân loại - Kiểm đếm
,,106. Biểu đồ tranh
,,107. Chắc chắn - Có thể - Không thể
,,108. Luyện tập chung
,,109. Em vui học Toán
,,110. Ôn tập chủ đề 6
,,
,,BÀI ÔN TẬP CUỐI NĂM
,,111. Ôn tập các số trong phạm vi 1000
,,"112. Ôn tập về phép cộng, phép trừ trong phạm vi 1000"
,,"113. Ôn tập về phép nhân, phép chia"
,,114. Ôn tập về hình học và đo lường
,,115. Ôn tập về một số yếu tố thống kê và xác suất
,,116. Ôn tập chung
,,
lớp 3,học kỳ 1,CHỦ ĐỀ 1: ÔN TẬP VÀ BỔ SUNG
,,1. Ôn tập về các số trong phạm vi 1000
,,"2. Ôn tập về phép cộng, phép trừ trong phạm vi 1000"
,,"3. Ôn tập về phép nhân, phép chia trong phạm vi 1000"
,,"4. Thành phần của phép cộng, phép trừ"
,,"5. Thành phần của phép nhân, phép chia"
,,6. Luyện tập chung
,,7. Bản đồ. Một số yếu tố thống kê
,,8. Xem đồng hồ. Tháng - Năm
,,9. Em vui học Toán
,,10. Ôn tập chủ đề 1
,,
,,"CHỦ ĐỀ 2: PHÉP NHÂN, PHÉP CHIA TRONG PHẠM VI 1000"
,,"11. Bảng nhân 3, Bảng chia 3"
,,"12. Bảng nhân 4, Bảng chia 4"
,,"13. Bảng nhân 6, Bảng chia 6"
,,"14. Bảng nhân 7, Bảng chia 7"
,,"15. Bảng nhân 8, Bảng chia 8"
,,"16. Bảng nhân 9, Bảng chia 9"
,,17. Luyện tập chung
,,18. Gấp một số lên một số lần
,,19. Giảm một số đi một số lần
,,20. Tìm một trong các phần bằng nhau của một số
,,21. Bảng đơn vị đo độ dài
,,"22. Khối lượng. Ki-lô-gam, Gam"
,,"23. Dung tích. Lít, Mi-li-lít"
,,24. Nhiệt độ. Độ C
,,25. Luyện tập chung
,,26. Phép nhân số có hai chữ số với số có một chữ số
,,27. Phép chia số có hai chữ số cho số có một chữ số
,,28. Phép chia hết và phép chia có dư
,,29. Luyện tập chung
,,30. Phép nhân số có ba chữ số với số có một chữ số
,,31. Phép chia số có ba chữ số cho số có một chữ số
,,32. Luyện tập chung
,,33. Em vui học Toán
,,34. Ôn tập chủ đề 2
,,35. Ôn tập về hình học và đo lường
